Description,Question,Equation,Input Numbers,Output
lena had some pocket money . she lost $ number0 and her mom gave her $ number1 . if she had $ number2 after that,how many dollars did lena have at first ?,+ - number2 number1 number0,4 9 66,61.0
there are some passengers on a bus . at a bus stop number0 more passengers got on the bus and number1 passengers got off . if there are number2 passengers in the bus in the end,how many passengers were there at first ?,- + number2 number1 number0,7 9 26,28.0
bruno had some story books . he lost number0 of them and his dad gave him number1 more books . if he had number2 books after that,how many books did bruno have at first ?,+ - number2 number1 number0,4 10 39,33.0
there number0 colored lights on a christmas tree . number1 of them are red number2 of them are yellow and the rest are blue .,how many blue lights are there on the christmas tree ?,- - number0 number1 number2,95 26 37,32.0
jennifer has an number0 cm long ribbon . she uses number1 cm of the ribbon to tie a present for her friend and number2 cm of the ribbon to make a bow .,how much of the ribbon is left in the end ?,- - number0 number1 number2,87 24 45,18.0
there are number0 passengers on a bus . number1 of them are men number2 of them are women and the rest are children .,how many children are there on the bus ?,- - number0 number1 number2,54 18 26,10.0
robert made $ number0 at work . he spent $ number1 on a pen and $ number2 for a calculator .,how much money did he have left ?,- - number0 number1 number2,76 6 14,56.0
there are number0 books on a shelf . number1 of them are history books number2 of them are geography books and the rest are math books .,how many math books are there on the shelf ?,- - number0 number1 number2,100 32 25,43.0
there are a total of number0 items at a bakery . number1 of them are bread rolls and number2 of them are croissants .,how many bagels are there ?,- - number0 number1 number2,90 49 19,22.0
a pet shop has a total of number0 animals . number1 of them are kittens and number2 of them hamsters the rest are birds .,how many birds are there ?,- - number0 number1 number2,77 32 15,30.0
a restaurant has number0 pieces of cutlery . number1 are forks number2 are knives and the rest are spoons .,how many spoons are there ?,- - number0 number1 number2,94 38 27,29.0
debby makes number0 pancakes . she adds blueberries to number1 of them and bananas to number2 of them . the rest are plain .,how many plain pancakes are there ?,- - number0 number1 number2,67 20 24,23.0
at a carnival there are number0 kids teenagers and adults waiting to get in . number1 are teenagers number2 are adults and the rest are kids .,how many kids are waiting in line at the carnival ?,- - number0 number1 number2,87 24 19,44.0
an international group had number0 chinese americans and australians . number1 of them were americans and number2 of them were australians .,how many chinese were there ?,- - number0 number1 number2,49 16 11,22.0
a summer sports camp had number0 soccer campers basketball campers and football campers . if number1 of them were basketball campers and number2 of them were football campers,how many soccer campers were there ?,- - number0 number1 number2,88 24 32,32.0
number0 medals are displayed in the sports center . there are number1 gold medals and number2 silver medals .,how many bronze medals are displayed ?,- - number0 number1 number2,67 19 32,16.0
at a store there are number0 computers . number1 are sold . number2 are shipped away to a company .,how many computers are left ?,- - number0 number1 number2,92 31 20,41.0
there were number0 pineapples in a store . the owner sold number1 pineapples . number2 of the remaining pineapples were rotten and thrown away .,how many fresh pineapples are left ?,- - number0 number1 number2,86 48 9,29.0
lenny has $ number0 . he spent $ number1 on video games and $ number2 at the grocery store .,how much does lenny have left ?,- - number0 number1 number2,84 24 21,39.0
there are number0 trees in a park . number1 of them are huge ancient oaks and another number2 of them are medium-sized fir trees . the rest are saplings .,how many saplings are in the park ?,- - number0 number1 number2,96 15 23,58.0
there were number0 trees in a park . number1 of them died and another number2 of them were cut .,how many trees were still left ?,- - number0 number1 number2,86 15 23,48.0
a mirror store has number0 mirrors in stock . number1 mirrors are broken and number2 mirrors are sold .,how many mirrors are left ?,- - number0 number1 number2,78 8 57,13.0
ryan collected number0 leaves . he lost number1 leaves . after a while number2 more leaves broke .,how many leaves are left in his collection ?,- - number0 number1 number2,89 24 43,22.0
kendra took a road trip . in the afternoon she saw number0 minivans like hers . later in the evening she saw number1 more minivan like hers .,how many minivans like hers did she see in all ?,+ number1 number0,4 1,5.0
there are number0 boys and number1 girls in a preschool daycare .,how many children are there in the daycare ?,+ number0 number1,4 5,9.0
there are number0 basketballs at a school . if the school buys another number1 basketballs,how many basketballs will the school have ?,+ number0 number1,7 3,10.0
garrett went shopping for snack supplies and bought number0 oatmeal raisin granola bars and number1 peanut granola bars .,how many granola bars did he buy in all ?,+ number0 number1,6 8,14.0
jack received number0 emails in the morning and number1 emails in the afternoon .,how many emails did jack receive in the day ?,+ number0 number1,8 2,10.0
a chess club has number0 members . if number1 new members are enrolled,how many total members are there in the chess club ?,+ number0 number1,3 4,7.0
